nome;ID_SAP;lat;lon;safra;estimativa_financiamento;estimativa_subsidio;uf;regiao;cidade;bairro;preco_cheio;avaliacao;financiamento;subsidio;sub_max_f2;fipezap;vso_medio;vso_avm;renda_bruta_media;renda_media;Bojo;Cauda;dens_demog;rma1;rma2;rmb1;rmb2;rmc1;rmc2;rmd;rme;pcta1;pcta2;pctb1;pctb2;pctc1;pctc2;pctd;pcte;pct_pead;pct_algd;estrategia;ufBA;ufCE;ufGO;ufPE;ufPR;ufRJ;ufRS;ufSP;cidSP;rg1;rg2;rg3;rg4;rg5;capital;aglomerado11;aglomerado21;aglomerado22;aglomerado23;aglomerado_regiao11;aglomerado_regiao12;aglomerado_regiao13;Saúde_ate_3km_influente;Saúde_ate_5km_influente;parada de ônibus_ate_5km_influente;parada de ônibus_maior_5km_influente
aurora;RL80;-23,44074;-46,73513;treino;107152,096;14864,00802;SP;1;SÃO PAULO;JARAGUA;156072,2844;184663,7427;117773,176;9111,067749;29000;4915,666582;36;47;2781,358918;3629,180953;2098,588146;3418,842893;6982,904715;0;23266,49129;12066,36175;6719,7163;4160,827213;2323,405072;1254,702283;579,2885935;0;0,003478104;0,064809884;0,134218529;0,249180417;0,260288106;0,083000006;0,20479616;0,293162506;0,144007469;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0
pitangueiras;QS10;-23,54869;-46,33800;treino;97022,03965;12645,11164;SP;2;SUZANO;CAXANGÁ;136599,259;155433,7349;102027,9288;16074,59237;27420;0;42;47;2177,356064;4379,191177;1921,708811;3199,876809;5068,71743;73321,42051;24324,03372;12292,08768;6697,742174;4163,808604;2328,91631;1254,974903;783,0938218;0,002501796;0,009514977;0,080202038;0,168534174;0,250460983;0,249876245;0,080046998;0,158850659;0,568925479;0,139548907;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0
morada do vale;RL60;;;treino;86731,32356;17806,40914;RS;4;GRAVATAÍ;Novo Mundo;122081,7661;133753,7604;86846,29019;18404,06649;23200;2544;34;45;1868,28117;4095,707417;;;3629,438216;0;24987,54985;11993,34963;6341,992508;4161,691088;2327,040219;1254,929728;828,1610057;0;0,002614729;0,047941449;0,229162911;0,302613429;0,251255519;0,047244599;0,119167364;0,436080747;0,105289964;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0
reserva do sul;RU00;-30,16220;-51,15192;treino;88716,39968;18933,16636;RS;3;PORTO ALEGRE;Restinga;124203,8314;133498,2301;85745,43498;21218,18142;26365;2763;34;40;1931,140066;3724,074263;1754,737742;3305,206304;1667,728076;59467,41864;27942,95097;12101,9747;6436,092361;4162,702588;2328,587096;1254,791806;895,7565939;6,41E-05;0,000549982;0,042107641;0,186068483;0,268970733;0,283638438;0,060767814;0,157832775;0,277666768;0,073721689;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;2;0;0;0;0;0
modena/verona;RL40;-23,49630;-46,46821;treino;130210,2072;9143,851523;SP;1;SÃO PAULO;JARDIM MATARAZZO;165196,5328;214148,2456;130530,3725;6105,964018;29000;4607,671052;33;39;3223,493965;3789,926551;2266,834863;3705,72165;9563,617927;0;23811,34921;12276,04459;6789,423118;4162,620402;2325,496838;1254,742844;549,2426696;0;0,004974106;0,075590367;0,148369306;0,227900643;0,24304318;0,081599437;0,218386806;0,519857154;0,171756071;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0
jardim park canoas;SA70;-29,91554;-51,14608;treino;95960,98915;15987,42953;RS;4;CANOAS;Estância Velha;126602,7153;137112,6761;96692,80246;14224,23218;23200;3260;32;38;2124,194577;5450,86044;1879,156495;3182,898205;2809,799476;53283,73767;26571,45763;12928,06738;6473,614898;4163,418468;2323,407018;1254,922026;678,274398;0,003947336;0,026492216;0,101541358;0,225547319;0,269972294;0,2203292;0,042694312;0,109475965;0,748170786;0,109307127;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0
reserva dos sonhos;RP60;-30,00295;-51,09790;treino;97556,53317;15444,78703;RS;3;PORTO ALEGRE;Rubem Berta;131442,4909;139777,709;93469,23882;20066,29876;26365;3321;36;38;2011,969288;4040,833151;1825,947898;3370,971569;6609,28934;232150,8177;24983,40896;12529,46384;6352,319172;4158,489744;2322,676774;1254,856402;842,0521448;8,86E-05;0,0070158;0,050669844;0,19166174;0,282230337;0,271063967;0,056377835;0,14088219;0,426786725;0,105781506;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;2;0;0;0;0;0
altos/portal de itaquera;QZ10;-23,55704;-46,44514;treino;115521,2134;7358,518364;SP;1;SÃO PAULO;COLONIA (ITAQUERA);147249,9174;198726,6667;110574,5374;13282,34667;29000;4182,053497;54;37;2387,55295;3532,16681;2135,412937;3223,062957;11860,096;0;21930,98998;11953,38711;6675,220774;4161,874042;2319,538553;1254,714602;584,2240194;0;0,002178491;0,057076751;0,146073755;0,245739994;0,248766971;0,077508433;0,222587273;0,343825653;0,130344304;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0
villagio di parma/piacenza;RC20;-25,50118;-49,18764;treino;85692,898;13693,83153;PR;4;SÃO JOSÉ DOS PINHAIS;Parque da Fonte;127633,8262;128425,4237;90755,31267;16395,21775;23200;3261;34;36;1993,568093;4703,517047;1865,459618;3212,334706;3988,640252;61834,56993;28147,7527;12593,96538;6615,688146;4163,549593;2328,685039;1254,917491;929,2945446;0,000769588;0,023789081;0,050333297;0,224039758;0,245205424;0,295514805;0,037375343;0,122952354;0,485700235;0,136289925;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;0
belo horto;RV70;-12,95882;-38,47541;treino;104994,952;7453,536222;BA;4;SALVADOR;Iapi;143309,5254;144478,1132;108343,6238;7139,223396;23200;2917;30;34;2935,804491;3750,12802;2161,533831;3537,357485;20073,26107;61280,79368;26321,89742;12984,9774;6607,539133;4153,16229;2328,720787;1254,900837;856,1487735;0,005844126;0,005349321;0,053350075;0,103643607;0,211702059;0,290640625;0,089154529;0,240236752;0,791026386;0,174521872;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;2;0;0;0;0;0
