nome;ID_SAP;lat;lon;safra;estimativa_financiamento;estimativa_subsidio;uf;regiao;cidade;bairro;preco_cheio;avaliacao;financiamento;subsidio;sub_max_f2;fipezap;vso_medio;vso_avm;renda_bruta_media;renda_media;Bojo;Cauda;dens_demog;rma1;rma2;rmb1;rmb2;rmc1;rmc2;rmd;rme;pcta1;pcta2;pctb1;pctb2;pctc1;pctc2;pctd;pcte;pct_pead;pct_algd;estrategia;ufBA;ufCE;ufGO;ufPE;ufPR;ufRJ;ufRS;ufSP;cidSP;rg1;rg2;rg3;rg4;rg5;capital;aglomerado11;aglomerado21;aglomerado22;aglomerado23;aglomerado_regiao11;aglomerado_regiao12;aglomerado_regiao13;Saúde_ate_3km_influente;Saúde_ate_5km_influente;parada de ônibus_ate_5km_influente;parada de ônibus_maior_5km_influente
vale das flores;RR60;-22,86959;-43,31012;treino;104783,2732;12798,02818;RJ;1;RIO DE JANEIRO;Tomás Coelho;151068,0363;168681,8533;113043,658;10457,18961;29000;3389;21;23;2667,835135;4799,537897;2144,009333;3387,069485;15012,93974;73778,65041;26841,04033;12276,16492;6501,807723;4080,169349;2161,949295;1254,881498;672,7297508;0,00015192;0,01577435;0,106978554;0,189559592;0,287234948;0,239703495;0,036098063;0,124374211;0,557404641;0,202943348;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0
estacao da luz;RM30;-22,78751;-43,41172;treino;81585,40691;25119,63412;RJ;2;MESQUITA;Banco de Areia;116587,8629;131950;82810,27392;20129,47917;27420;2906;21;21;1917,772;3895,732171;;;12593,59608;240364,8757;22967,3973;11997,15488;6409,93497;4161,817066;2325,121941;1254,946685;930,0684214;0,000272441;0,002281364;0,054927476;0,153308017;0,306100246;0,284428387;0,04977447;0,148864076;0,370894911;0,176781533;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;1;1;0;0
moradas do planalto;RJ20;-25,34325;-49,19597;treino;84543,46056;14496,27786;PR;4;COLOMBO;Planta Bom Jesus;132388,3797;131191,2088;94022,11154;16381,29775;23200;3042;18;19;2048,901484;3677,562902;1849,905486;3230,478462;3627,009573;0;21931,1648;12424,14361;6423,972084;4163,599566;2328,789587;1254,936473;928,6306665;0;0,000474382;0,029167079;0,198139776;0,258250143;0,332327081;0,043301819;0,13829796;0,42231464;0,13237762;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;1;1;1;1
ville provence;RV20;-25,36887;-49,21945;treino;106841,4008;8393,012681;PR;3;CURITIBA;Santa Cândida;148834,5601;147300;111213,9374;8570,471773;26365;3573;16;16;2758,42844;5413,753589;2198,378395;3370,34102;4845,292511;52548,86274;27167,28396;13009,66809;6583,954645;4163,521026;2328,653762;1254,898165;925,2306388;0,000847842;0,035495746;0,085050274;0,243524321;0,22788679;0,255451668;0,033309364;0,118433995;0,496366295;0,139356979;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;2;0;0;1;1;1
campo verde;RU70;-12,89932;-38,38883;treino;98376,44038;12211,88475;BA;4;SALVADOR;Cajazeiras;132331,4952;146442,1525;101542,0317;11338,53363;23200;2359;36;52;2478,348296;2569,475899;2028,222599;3503,876014;5332,582587;0;0;11543,19306;6493,01572;4120,870257;2328,525013;1254,892973;815,766409;0;0;0,014003006;0,071742988;0,205325962;0,311505048;0,105519016;0,291902355;0,269481058;0,113093855;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;2;0;0;0;0;0
colina das flores;SA30;-12,91726;-38,46289;treino;105098,1436;8635,766352;BA;4;SALVADOR;Alphaville II;139599,5109;151065,2542;108327,7701;8263,70339;23200;5277,25;24;34;2749,520763;2543,870358;2064,087059;3786,114661;15311,3488;0;25613,58357;11918,89429;6433,284527;4152,680923;2328,687428;1254,897344;872,0280084;0;7,70E-05;0,012779548;0,065343471;0,200186525;0,320755478;0,108155129;0,292689444;0,356648896;0,139422929;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;2;0;0;1;0;0
viver salvador;RR50;-12,95852;-38,60757;treino;83749,19795;18277,23501;BA;4;SALVADOR;Areia Branca;118479,0621;127388,7405;76399,01718;22444,3187;23200;0;37;52;1703,829847;1904,927053;1690,568765;3307,836667;660,1618312;0;23805,4393;11324,31606;6602,327997;4130,849498;2324,499755;1254,874096;795,5052292;0;7,88E-06;0,004078099;0,026561602;0,116935481;0,30202464;0,131159096;0,419233205;0,288901979;0,081116756;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;2;0;0;0;0;0
campo de pouso;QR30;-7,94584;-34,85609;treino;83296,14441;15837,14839;PE;5;PAULISTA;Maranguape I;116652,2994;124782,2981;82248,52807;16212,20963;21090;3097,909091;32;28;1981,721584;3532,755863;1763,366356;3556,319394;5595,020692;38926,24783;24691,02178;12953,07867;6827,220119;4163,334257;2328,824472;1254,939183;952,9737655;0,000240539;0,002882727;0,056948863;0,123629795;0,208158683;0,291077441;0,088000855;0,226203529;0,112753509;0,165383538;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
cores da mata;RD40;-22,97163;-43,35141;treino;128460,7768;5003,23413;RJ;1;RIO DE JANEIRO;Gardênia Azul;171994,1284;187978,9474;130547,0774;5473,284211;29000;4224,428571;23;31;3378,485158;8384,240146;2188,091579;3745,094923;6832,901212;195859,9351;27228,96682;12447,99092;6509,588574;4060,602774;2179,309101;1254,857867;745,6058705;0,014250589;0,042576539;0,126909754;0,165805044;0,278919498;0,2407516;0,039213998;0,091536288;0,631539248;0,274671172;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1
alto paraiso;RP20;;;treino;87482,68173;19029,16829;RS;4;NOVO HAMBURGO;Santo Afonso;116727,3898;129305,8824;82837,38953;20779,59118;23200;3049,818182;16;26;1738,845588;4086,262509;1661,963352;3236,523333;3095,916654;58542,1153;26729,03746;12343,63274;6356,350922;4163,229955;2328,732167;1254,900238;869,1550141;0,001294181;0,010178189;0,046469165;0,188511959;0,266891771;0,280429558;0,063441326;0,141297103;0,56677105;0,120022922;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;1;1
austral;RO50;-23,57677;-46,41346;treino;101082,4104;15091,95266;SP;1;SÃO PAULO;CONJUNTO HAB SANTA ETELVINA II;147430,2733;178989,3617;108883,3486;13423,36064;29000;2844,979957;24;53;2417,550904;3058,285827;2100,021901;3348,428333;9961,734521;0;21932;11423,695;6562,737558;4161,74768;2317,253449;1254,725744;662,7327056;0;1,02E-05;0,028956477;0,116100045;0,246939654;0,288369034;0,097368968;0,222172789;0,22736599;0,102894338;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0
hortencia;RZ80;-23,67665;-46,76351;treino;131586,4755;5289,142271;SP;1;SÃO PAULO;CAPAO REDONDO;162874,3967;217018,4928;119375,8967;10128,61594;29000;4208,69694;24;25;2814,188471;3454,911735;2154,470749;3729,264903;17530,89941;48464,83089;23557,12094;12287,04189;6660,844522;4159,691252;2324,665511;1254,70893;543,9680727;0,000151184;0,003271396;0,05543007;0,129214718;0,232725391;0,269766902;0,09190144;0,217432023;0,26427942;0,193533932;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0
mirante do horto;RX10;-23,43375;-46,31941;treino;128301,0045;9612,990143;SP;1;SÃO PAULO;VILA SANTOS;168883,4776;200000;129498,1396;7036,660112;29000;5751,716673;31;47;3143,705056;6186,446645;2220,931869;3789,032762;8419,278753;63272,77294;24775,33497;12808,41579;6792,156402;4162,405719;2324,906365;1254,700962;557,7443726;0,010590365;0,033695209;0,156533549;0,175458736;0,211498115;0,190523451;0,054516061;0,167053847;0,405355864;0,194184847;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0
parque botanico;RZ80;-23,67665;-46,76351;treino;129290,5279;7686,211324;SP;1;SÃO PAULO;PARQUE BRISTOL;161971,8115;203986,3946;126317,1665;9270,108844;29000;4844,364969;21;29;2744,388912;5462,257985;2154,470749;3729,264903;12708,26034;70916,79693;24413,17014;12657,5625;6847,550085;4162,871381;2324,779116;1254,778747;510,1487967;0,004488745;0,024952986;0,142747348;0,175099421;0,220753767;0,190579167;0,059001029;0,182018066;0,571300472;0,214786584;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0
reserva ceramica;RN50;-23,99275;-46,49505;treino;122549,9265;10269,44182;SP;1;SÃO PAULO;SAO JOAO CLIMACO;154899,4747;185969,0722;116556,5757;10100,52577;29000;4686,958216;24;29;2744,03134;7102,132099;2134,5384;3620,512745;12649,07199;89083,13816;24953,8898;12771,06598;6903,024221;4162,266876;2313,506849;1254,744805;524,5961782;0,013448804;0,039234782;0,176607906;0,18006864;0,211242323;0,173458775;0,051963268;0,153975502;0,759022344;0,223761712;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0
